Rk;Squad;Country;LgRk;MP;W;D;L;GF;GA;GD;Pts;Pts/MP;xG;xGA;xGD;xGD/90;Attendance;Top Team Scorer;Goalkeeper
1;Real Madrid;ESP;1;11;10;1;0;28;9;19;31;2.82;22.1;9.6;12.6;1.14;58261;Federico Valverde - 6;Thibaut Courtois
2;Paris S-G;FRA;1;12;10;2;0;32;5;27;32;2.67;29.7;9.8;20;1.66;46200;Kylian Mbappé - 10;Gianluigi Donnarumma
3;Napoli;ITA;1;11;9;2;0;26;9;17;29;2.64;22.4;9.3;13.1;1.19;28585;Khvicha Kvaratskhelia - 5;Alex Meret
4;Barcelona;ESP;2;11;9;1;1;28;4;24;28;2.55;26.7;8.6;18.1;1.64;81625;Robert Lewandowski - 12;Marc-André ter Stegen
5;Arsenal;ENG;1;11;9;1;1;25;11;14;28;2.55;19.5;10.5;9;0.82;60109;Gabriel Jesus - 5;Aaron Ramsdale
6;Manchester City;ENG;2;11;8;2;1;36;11;25;26;2.36;24.4;7.5;16.9;1.53;53340;Erling Haaland - 17;Ederson
7;Milan;ITA;2;11;8;2;1;24;11;13;26;2.36;19.3;10.8;8.6;0.78;60701;Rafael Leão - 5;Mike Maignan
8;Lens;FRA;2;12;8;3;1;19;8;11;27;2.25;21.4;13.3;8.1;0.67;37227;Florian Sotoca - 6;Brice Samba
9;Lorient;FRA;3;12;8;3;1;23;16;7;27;2.25;18.1;18.7;-0.6;-0.05;14010;Terem Moffi - 8;Yvon Mvogo
10;Lazio;ITA;3;11;7;3;1;23;5;18;24;2.18;14.7;13.6;1.1;0.1;43417;Ciro Immobile - 6;Ivan Provedel
11;Atalanta;ITA;4;11;7;3;1;16;8;8;24;2.18;16.2;9.9;6.3;0.58;15239;Teun Koopmeiners Ademola Lookman - 4;Juan Musso
12;Union Berlin;GER;1;11;7;2;2;19;8;11;23;2.09;10.4;9.7;0.7;0.06;21821;Sheraldo Becker - 6;Frederik Rønnow
13;Atlético Madrid;ESP;3;11;7;2;2;18;9;9;23;2.09;12.4;10.4;1.9;0.19;55407;Álvaro Morata Antoine Griezmann - 5;Jan Oblak
14;Bayern Munich;GER;2;11;6;4;1;32;8;24;22;2;25.6;10.1;15.4;1.4;75000;Jamal Musiala - 6;Manuel Neuer
15;Rennes;FRA;4;12;7;3;2;25;12;13;24;2;20.8;11.3;9.5;0.79;27832;Martin Terrier - 7;Steve Mandanda
16;Real Sociedad;ESP;4;11;7;1;3;16;13;3;22;2;14.9;10.3;4.6;0.42;32570;Brais Méndez - 5;Álex Remiro
17;Roma;ITA;5;11;7;1;3;13;10;3;22;2;20.3;7.9;12.4;1.13;49376;Paulo Dybala - 5;Rui Patrício
18;Marseille;FRA;5;12;7;2;3;20;9;11;23;1.92;17.8;12.9;4.9;0.41;53957;Alexis Sánchez - 4;Pau López
19;Tottenham;ENG;3;12;7;2;3;23;14;9;23;1.92;18.5;13.3;5.2;0.43;61610;Harry Kane - 10;Hugo Lloris
20;Udinese;ITA;6;11;6;3;2;20;12;8;21;1.91;15.4;11.9;3.5;0.31;17999;Beto - 5;Marco Silvestri
21;Chelsea;ENG;5;11;6;3;2;16;11;5;21;1.91;13.8;12.3;1.5;0.14;31952;Raheem Sterling - 3;Edouard Mendy
22;Inter;ITA;7;11;7;0;4;22;17;5;21;1.91;18.7;9.9;8.9;0.8;72387;Lautaro Martínez - 6;Samir Handanovi?
23;Freiburg;GER;3;11;6;3;2;16;13;3;21;1.91;17.1;13.3;3.8;0.34;34320;Vincenzo Grifo Michael Gregoritsch - 4;Mark Flekken
24;Lille;FRA;6;12;7;1;4;25;21;4;22;1.83;21.7;15.2;6.5;0.54;32039;Jonathan David - 9;Leonardo César Jardim Lucas Chevalier
25;Betis;ESP;5;11;6;2;3;14;8;6;20;1.82;13.5;12.2;1.3;0.13;50833;Borja Iglesias - 7;Rui Silva
26;Eint Frankfurt;GER;4;11;6;2;3;24;18;6;20;1.82;17.7;13.4;4.4;0.4;50200;Daichi Kamada - 6;Kevin Trapp
27;Manchester Utd;ENG;6;11;6;2;3;16;16;0;20;1.82;14.7;14.2;0.4;0.04;73738;Marcus Rashford Antony - 3;David de Gea
28;Newcastle Utd;ENG;4;12;5;6;1;20;10;10;21;1.75;20.1;13;7.2;0.6;52153;Miguel Almirón - 6;Nick Pope
29;Monaco;FRA;7;12;6;3;3;23;18;5;21;1.75;17.8;20.4;-2.6;-0.22;5491;Wissam Ben Yedder Breel Embolo - 5;Alexander Nübel
30;Juventus;ITA;8;11;5;4;2;17;7;10;19;1.73;16.5;12.5;4;0.37;30866;Dušan Vlahovi? - 6;Mattia Perin
31;Dortmund;GER;5;11;6;1;4;18;14;4;19;1.73;17.9;12.2;5.7;0.52;80977;Youssoufa Moukoko - 4;Gregor Kobel
32;Athletic Club;ESP;6;11;5;3;3;19;12;7;18;1.64;17.3;8.9;8.5;0.77;43107;Iñaki Williams - 4;Unai Simón
33;Villarreal;ESP;7;11;5;3;3;14;7;7;18;1.64;16.7;11.1;5.7;0.52;11506;Alex Baena - 4;Gerónimo Rulli
34;Mainz 05;GER;6;11;5;3;3;16;13;3;18;1.64;13.2;14.7;-1.5;-0.13;27304;Karim Onisiwo - 4;Robin Zentner
35;Hoffenheim;GER;7;11;5;2;4;17;12;5;17;1.55;18.5;13.9;4.6;0.42;22353;Moanes Dabbur - 4;Oliver Baumann
